Longueur; L=1; L=2; L=3; L=4; L=5; L=6; L=7; L=8; L=9; L=10; L=11; L=12; L=13; L=14
;['Belinda']/46;['I know', 'miss Portman', 'I do']/9;[];[];[];[];[];[];[];[];[];[];[]; []
;['My']/42;['I shall']/8;[];[];[];[];[];[];[];[];[];[];[]; []
;['shall']/38;['I could', 'It was', 'lady Anne']/7;[];[];[];[];[];[];[];[];[];[];[]; []
;['love']/36;['It is', "don'", 'I would', 'sir Philip', 'c.']/6;[];[];[];[];[];[];[];[];[];[];[]; []
;['never', 'without']/33;['St.', 'Clarence Hervey', 'Delacour,', 'see her', 'think of', 'I knew', 'ha!', 'out of']/5;[];[];[];[];[];[];[];[];[];[];[]; []
;['Hervey']/31;['I did', 'wish to', 'Belinda,', 'madame de', 'upon the', 'I cannot', 'courage to', 'I not', 'He was']/4;[];[];[];[];[];[];[];[];[];[];[]; []
;['It']/29;['I beg', 'I came', 'lady,', 'tell you', 'It has', 'sure,', 'I to', 'Oakly-', 'Belinda Portman', 'never more', 'love you', 'ought to', 'knowledge of', 'I wish', '\x99\xe2\x80\x94\xe2\x80\x98', 'He had', 'sort of', 'Juba,', "duck'", 'She had', 'guess,', '\x99\xe2\x80\x94', "father'", 'I never', 'afraid of', 'I hope', 'indeed,', "Luttridge'", 'love with']/3;[];[];[];[];[];[];[];[];[];[];[]; []
;['\x99', 'thy', 'good', 'know']/28;['Have you', 'upon a', 'much the', "Where'", 'soon as', 'She was', 'much for', 'Is he', 'hate her', 'I come', 'like a', "ma'", 'They will', 'courage,', 'give up', 'lord,', 'tragic muse', 'refuse him', 'What did', 'enough to', 'good to', 'X---', 'miss Delacour', 'How so', 'world,', 'whether he', 'half the', 'forgive me', 'black and', 'I love', 'I don', 'we had', 'Sir.', 'I ought', 'shall not', 'speak to', 'girl,', 'once a', 'She is', 'God forbid', 'more than', 'd,', 'give her', 'sake of', 'old gardener', 'tell him', 'Let her', 'under the', 'those who', 'upon my', "Delacour'", 'He must', 'You are', 'I might', 'moon,', 'lost!', 'money,', 'Anne Percival', 'going to', 'between two', 'Let me', 'read of', 'hundred pounds', 'I ask', 's dead', 'man of', 'shall I', 'Harriet Freke', 'shame!', 'laws of', 'I said', 'Tis good', 'part of', 'Good night', 'history piece', 'thing,', 'gold fishes', 'O,', 'think I', 'knew you', 'loves you', 'wife,', 'object of', 'I thought', 'very ill', 'He is', 'one of', 'shake,', 'He may', 'far from', 'I meant', 'put it', 'tell her', 'accustomed to', 'knowledge,', 'much as', 'never shall']/2;[];[];[];[];[];[];[];[];[];[];[]; []
;['man', 'Marriott', 'You']/26;['determined upon', 'perceive that', 'tell it', 'love me', 'thank ye', 'amazingly good', 'Miss Sally', 's head', 'From Oakly', 'one thing', 'signed,', 'em\xe2\x80\x94', 'make a', 'Know at', "Stanhope'", 'half by', 'fear of', 'none of', 'physician\xe2\x80\x94', 'tant pis', "mother'", 'good young', 'military courage', 'forget,', 'park,\xe2\x80\x9d', 'excepted,', 'letter\xe2\x80\x94', 'myself in', 's taste', 'perfectly well', 'mentioned the', 'Philip Baddely', 'influence to', 'one,', 'more?', 'tears,', 'Philip was', 'passionate lover', 'married,', 'I wished', 'essential to', 'go with', 'upon having', 'good\xe2\x80\x94', 'beg your', 'unless she', 'How did', 'll ask', 'No:', 'tired of', 'I mean', 'bless you', 'another\xe2\x80\x94', 'change it', 'sure I', 'loan that', 'love my', 'others,', 'Virginia St', "Can'", 'make,', 'hundred guineas', 'live alone', 'yourself,', 'partner of', 'free from', 'battle between', 'Damn it', 'cunning!\xe2\x80\x94', 'father may', 'cease to', 'Marriott thinks', 'merely for', 'young man', 'things at', 'Percival,', 'wedding,', 'Why was', 'once again', 'victorious.', 'nobody would', 'To be', 'deserves it', 'become quite', 'lord and', 'whole business', 'light,', 'before?\xe2\x80\x94', 'beg that', 'God will', 'season of', 'Hadwin.', 'action than', 'spurn him', 'very good', 'manner of', 'myself.', 'I give', 'gentleman,', 'long have', 'hundred dollars', 'heavenly sort', 'obligations\xe2\x80\x94', 'speeches,', 'Say you', 'dash into', 'ask for', 'dine with', 'low voice', 'lady\xe2\x80\x94', 'times more', 'admirers,', 'whose life', 'secret in', 'myrtle,', 'convinced in', 'statutes of', 'She would', 'Portman,', 'go,', 'Would it', 'sir.', 'How should', 'one he', 'I told', 'You shall', 'poetic justice', 'see him', 'till he', 'Do go', 'having judged', 'please\xe2\x80\x94', 't you', 'books.', 'look back', 'devoid of', "massa'", 'company\xe2\x80\x94', 'care not', 'Little did', 'confession of', 'angry with', 'E O', 'night!\xe2\x80\x9d', 'creaking shoes', 'Can any', 've been', 'That I', 'like thee', 'speech and', 'regard to', 'mistreated.', 'ought.\xe2\x80\x9d', 'little I', 'Delacour shall', 'lady Ann', 'lord Studley', 'The widow', 'Ha!', 'lord to', 'we grow', 'conceal from', 'never,', 'right to', 'Give ye', 'love him', 'man?\xe2\x80\x9d', 'What is', 'come to', 'love her', 'Was she', 'love for', 'end of', 'pet quiz', 'dominion of', "lord'", 'key\xe2\x80\x94', 'hear,', 'folly.', 't look', 'The father', 'I wore', 'explain!', 'though he', 'news!\xe2\x80\x94', 'useful to', 'man in', 'noise,', 'petit nez', 'perhaps the', 'instead of', 'I think', 'affection,', 'Harriot!', 'similarity of', 'knew what', 's thee', 'Helena,', 'My father', 'better satisfied', 'satisfaction to', 'speak the', 'May I', 's,', 'acknowledged taste', 'My last', 'dead?', 'You perceive', 'dinner time', 'told you', 'judge of', 'down to', 'ready for', 'difficult to', 'Portman is', 'destiny,', 'Where is', 'think for', 'Shall I', 'generous action', 'judgment and', 'general character', 'never be', 'told her', 'within?', 'believe it', 'Delacour was', 'And you', 'upon her', 'love,', 'Smith,', 'men.\xe2\x80\x94', 'betray me', 'damme,', 'things have', 'absurd to', 'well received', 'looks\xe2\x80\x94', 'thousand faults', 'In love', 'I care', "L'", 'maker,', 'West-', 'willing to', 'displeased,', 'made me', 'more she', 'consent\xe2\x80\x94', 'charming spirits', 'worth while', "Pierre'", 'd not', 'arms of', 'we do', 'loss of', 'sees,', 'know how', 'more you', 'Instead of', 's death', 'people\xe2\x80\x94', 'Indian ladies', 'interest,', 'slave of', 't\xe2\x80\x94', 'friends,', 'bullfinch,', 'tell where', 'make inquiries', 'two dogs', 'melancholy nonsense', 'grow tired', 'He be', 'without the', 'assure you', 'thousand a', 'few cents', 'leave me', 'fonder of', 'we have', "lover'", 'young lady', 'few minutes', 'Ah pardi', 'surgeon in', 'stair-', 'silver chess', 'woman of', 'house was', 'They have', 'full and', 'gone so', 'I expected', 'family history', 'I be', 'fine woman', 'temper,', 'dark\xe2\x80\x94', 'very glad', 'exist without', 've found', 'fishes,', 'love-', 'course of', 'without her', 'upon me', 'piece,', 'artifice!', 'father!\xe2\x80\x94', 'such as', 'well\xe2\x80\x94', 'worse!\xe2\x80\x94', 'aunt Stanhope', 'sure.', 'dupe,', 'long as', 'done with', 'reasonable creature', 'shall always', 'mother of', 'here is', 'finest woman', 'un petit', 'need not', 'll lay', 'I only', 'against him', 'shall we', 'hope,\xe2\x80\x9d', 'happiest of', 'back to', "ladyship'", 'Hervey,', 'without my', 'head,', 'singing bird', 'gratify my', 'give to', 'fide,', 'old woman', 'during the', 'opinion of', 'Hervey,\xe2\x80\x9d', 'Does she', 'something to', 'shall be', 'bet,', 'person who', 'six and', 'possibility now', 'point,', 'wish,', 'now that', 'I hear', 'What!', 'window,', 'up,', 'Consult no', 'coquet I', 'Belinda!\xe2\x80\x9d', 'silence her', 'go on', 'lord Delacour', 'devil are', 'want to', 'attachment to', 'vile wretch', 'first glance', 'age,', "wasn'", 'And he', 'we placed', 'knows.', 'money quarrels', 'door.', 'Delacour should', 'vain imagination', 'thousands,', 'contrary to', 'thought something', 'partly by', 's Virginia', 'look so', "d'", 'en a', 'sight of', 'times handsomer', 't the', 'delicacy,', 'indifferent spectator', 'great delight', 'write,', 'obliged to', 'First loves', 'brass\xe2\x80\x94', 'keep it', 'common sense', 'put me', 'kill me', 'waited in', 'description of', 'What do', 'wear it', 'go about', 'secret,', 'dog,', 'I found', 'fondly loves', 'go to', 'approve of', 'damned blue', 'Delacour.', 'journey.', 'pleasant young', 'guilt\xe2\x80\x94', 'Perhaps you', 'matter\xe2\x80\x94', 'orange,', 'I remember', 'tremble for', 't some', 'friend the', 'body.\xe2\x80\x9d', 'Done!', 'wanna go', 'I despise', 'away posted', 'And young', 'cause of', 'hurt,', 'air,', "That'", 'suits your', 'Undesignedly,', 'Did I', 'Champfort,', 'Upon condition', 'In vain', 'thou art', 'attached to', 'intent upon', "Hervey'", 'come in', "Champfort'", 'found me', 'Hervey!', 's fortune', 'hastened to', 'entirely to', 'study,', 'kitchen.', 'first object', 'Would she', 'heroes,', 'heart\xe2\x80\x94', 'duel\xe2\x80\x94', 'Will you', 'thought that', 'I liked', 'we can', 'liberal in', 'happiness,', 'whenever he', 'half in', 'I knocked', 'woman!\xe2\x80\x9d', 'y en', 'Doctor X', 'I mentioned', 'more will', 'alteration,', 'thy fate', 'Am I', 'old age', 'I go', 'last night', 'O table', 'young girl', 'promised\xe2\x80\x94', 's a', 'quarrelled with', 'capacity,', 'thing which', 'consult a', 'dress,', 'hey,', 'determined to', 'eclipse,', 'once in', 'much hurt', 'woman\xe2\x80\x94', 'thousand times', 'meant not', 'hopes of', 'now?', "Don'", 'widow Brady', 'meet with', 'we cannot', 'know not', 'always be', 'relation to', 'They would', 'more like', 'Miss Hetty', 'dance,', 'What more', 'Juba the', 'They are', 'There is', 'hate a', 'such things', 'blame myself', 'Lord Delacour', 'fine lady', 'send for', 'Reputation,', 'first man', 'What was', 'found it', 'now the', 'The truth', 'seems to', 'character,', 'To love', 'rubbish.\xe2\x80\x9d', 'belief in', 'damme!', 'rejoiced I', 'tolerate lady', 'learn from', 'Why not', 'new day', "Lawless'", 'give the', 'nez retrouss\xc3\xa9', 'Great news', 'bona fide', 'heart!', 'eating it', 'spite of', 'away!', 'coach-', 'manners,', 'heard of', 'know my', 'Portman has', 'write?\xe2\x80\x9d', 'read them', 'Clemenza Lodi', 'harm to', 'Not three', 'With what', 'damned sorry', 'letters.\xe2\x80\x9d', 'more likely', 'wish that', 'earnest,', 'knew not', 'ye joy', 'people,', 'wish her', 'supply the', 'It would', 'far above', 'Marriott,', 'mean\xe2\x80\x94', 'forgotten the', 'time or', 'You have', 'Why this', 'old man', 'good heart', 'O!', 'repugnance for', 'excusable,', 'leave you', 'dreaded the', 'blush before', 'I regret', 'variety of', 'I may', 'Do you', 'jealous\xe2\x80\x94', 's\xc3\xa7', 'Lord!', 'Too late', 'fond of', 'like to', 'liberty to', 'offered to', 'judge for', 'room,', 'myself a', 'voice of', 'name of', 'moment,', 'dressing-', 'Joy!', 'ask no', 'prepare lady', "we'", 'colour of', 'spared on', 'justice,', 'rob my', 'till the', 'bets were', 'made the', 'comme il', 'Percival is', 'thought she', 'taste and', 'bring not', '200 guineas', 't wish', 'done!\xe2\x80\x9d', 't deserve', 'pon honour', 'muse on', 'Dr.', 'Strange,', 'left-', 'morrow\xe2\x80\x94', 'eight and', 'genius\xe2\x80\x94', 'prepared to', 'caught in', 'need only', 'deserve,', 'shall make', 'femme comme', "wouldn'", 'hates\xe2\x80\x94', 'common friend', 'trust you', 'waited,', 's hopes', 'know it', 'May Belinda', 'friend of', 'told by', 'father,', 'affectionate disposition', 'fancy piece', 'No!\xe2\x80\x94', "wou'", 'like him', 'Delacour\xe2\x80\x94', 'whether any', 'G---', 'himself,', 'discovered,', 'change of', 'I wanted', 'mine,', 'began to', 'free-', 'go away', 'yours:', 'very amiable', 'drag me', 'body knows', 'claims of', 'court,', 'delight,', 'glad to', 'times,', 'Should the', 'through her', 'entertaining man', 'O no', 'want of', 'satisfied.', 'sense of', 'This way', 'laughed,', 'seemed to', 'chess-', 'beyond the', 'expected to', "couldn'", 'house,', 'hate me', 'came into', 'relations hate', 're no', 'captain Sunderland', 'pretty thing', 'wonder you', 'lady Boucher', 'Freke!\xe2\x80\x94', 'true description', 'more agreeable', 'Belinda loves', 'consequence to', 'good qualities', 'friend,', 'tell me', 'I say', 'friend!', 'chuse it', 'die,', 'de Sevign\xc3\xa9', 'listened to', 'spectator,', 'morning visit', 'smile,', 'I believe', 'la femme', 'upon this', 'If I', 'ward,', 'Sir?\xe2\x80\x9d\xe2\x80\x94\xe2\x80\x9c', 'agreeable,', 'Juba is', 'name,', 'Juba die', 'Did he', 'overheard it', 'shall they', 'sometimes with', 'world to', 'death,', 'necessary to', 'though I', 'night,', 're eating', 'La!', 'rose-', 'woman blush', 's fault', 'ill humour', 'She may', 's the']/1;[];[];[];[];[];[];[];[];[];[];[]; []
;['lord']/25;[];[];[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[];[];[];[]; []
